t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1569.425	0.00141062	-0.0866347	0.00761888	141.50	190.49	18.00	18.39461	24.76357	2.340169
-695.028	-0.00099971	-0.0865762	0.00761879	142.28	191.42	18.55	18.49692	24.88499	2.411955
-92.996	-0.00018654	-0.0792562	0.00673044	141.91	192.22	19.09	18.44882	24.98886	2.482168
60.149	-0.00026351	-0.0840414	0.00730514	139.46	193.58	17.22	18.12967	25.16475	2.238587
207.121	-0.00171529	-0.0873723	0.00772032	140.31	195.74	18.38	18.24069	25.44633	2.389647
321.724	-0.00168262	-0.0865134	0.00761485	139.90	196.98	17.86	18.18739	25.6074	2.32115
441.69	-0.00205898	-0.0873312	0.00771769	139.89	195.94	18.21	18.18609	25.47168	2.367105
561.34	-0.00285354	-0.0890402	0.00793603	140.00	195.50	17.00	18.2	25.415	2.21
681.498	-0.00290515	-0.0899468	0.0080495	139.50	196.00	17.00	18.135	25.48	2.21
763.115	-0.00280072	-0.0881346	0.00782268	139.88	194.65	18.33	18.18479	25.30385	2.383459
883.172	-0.00332255	-0.0854303	0.00749449	139.68	193.63	17.51	18.15827	25.17151	2.276131
1003.364	-0.00304342	-0.0863376	0.00760261	138.72	195.47	17.33	18.03334	25.41162	2.252809
1123.168	-0.00299276	-0.0854908	0.0074988	138.45	195.59	18.33	17.99863	25.42644	2.382744
1243.253	-0.00371159	-0.0862092	0.00759311	138.86	196.24	18.25	18.05206	25.51159	2.372786
1363.118	-0.00227801	-0.0847298	0.00740053	138.70	196.46	18.67	18.03152	25.53993	2.426463
1483.026	-0.00190604	-0.0839148	0.00729823	138.58	196.37	18.83	18.01488	25.52823	2.448355
1603.161	-0.00154811	-0.0831289	0.00720077	137.97	196.09	18.62	17.93584	25.49222	2.420353
1723.198	-0.0008836	-0.0823893	0.00710801	138.48	195.91	19.10	18.0024	25.46882	2.482753
1843.328	-0.00056043	-0.0824035	0.00710859	137.68	196.40	18.62	17.89788	25.532	2.420717
2016.917	-0.00117542	-0.0815575	0.00700964	139.55	196.88	19.70	18.1415	25.59479	2.56139
2136.004	-0.00083811	-0.0807807	0.00691432	139.64	197.21	18.43	18.15346	25.63769	2.395471
2256.002	-0.00049256	-0.0792451	0.00673002	138.94	196.82	19.06	18.06259	25.58673	2.477306
2376.028	-0.00049256	-0.0792451	0.00673002	140.19	197.03	19.44	18.22483	25.61364	2.526641
2496.151	-0.00017566	-0.0785	0.00664101	139.69	196.52	18.77	18.15905	25.5476	2.440152
2616.076	0.00043617	-0.0770011	0.00646207	139.57	195.64	19.64	18.14384	25.43333	2.552914
2736.284	0.00129851	-0.0755566	0.00629249	137.76	195.24	19.89	17.90828	25.38107	2.585414
2857.174	0.00129851	-0.0755566	0.00629249	138.16	195.09	19.89	17.96132	25.36131	2.586168
2977.16	0.00185759	-0.0748123	0.00620587	137.20	195.07	20.40	17.83574	25.35871	2.652117
3097.134	0.00213969	-0.0747972	0.00620407	137.08	195.46	20.27	17.81988	25.4098	2.635204
3217.055	0.00157451	-0.074827	0.00620762	137.14	195.49	19.87	17.82768	25.41422	2.582671
