t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1017.748	0.034002	-0.364288	0.0466508	130.78	57.07	26.08	17.00127	7.41884	3.389828
-451.993	-0.002329	-0.409818	0.0533407	133.55	55.09	25.13	17.36137	7.162233	3.267329
-112.662	-0.000116	-0.410245	0.0534741	133.77	54.92	25.15	17.39036	7.139483	3.269045
88.192	0.005514	-0.430832	0.0574136	135.67	63.18	25.58	17.63671	8.213595	3.325049
208.386	0.017253	-0.418584	0.0555739	134.06	62.64	24.88	17.4278	8.143681	3.234946
356.066	0.032659	-0.417942	0.0561663	133.27	66.10	25.51	17.32471	8.593091	3.316365
475.673	0.043345	-0.416041	0.0564185	133.69	65.53	25.59	17.38009	8.518432	3.326934
596.844	0.045348	-0.390283	0.0518985	132.81	65.78	26.39	17.26465	8.551049	3.430804
721.796	0.048442	-0.365998	0.0478238	132.13	65.37	25.31	17.17677	8.498178	3.290183
842.01	0.051441	-0.348405	0.0449955	131.95	65.11	25.55	17.15311	8.463793	3.32111
958.563	0.057547	-0.356524	0.0468471	131.65	65.55	25.54	17.11411	8.521708	3.320668
1078.666	0.062291	-0.365394	0.0487454	131.36	65.71	25.82	17.07628	8.542443	3.357146
1200.932	0.066968	-0.362754	0.0487093	131.43	65.62	25.35	17.0859	8.530743	3.294863
1319.802	0.072838	-0.358537	0.0485177	131.34	65.51	25.68	17.07459	8.516911	3.338829
1436.192	0.079482	-0.359334	0.0493368	129.73	68.50	25.03	16.86438	8.904519	3.253978
1555.356	0.084718	-0.360784	0.0501659	129.32	68.87	25.24	16.81095	8.953035	3.281733
1676.135	0.091903	-0.352663	0.0496858	128.58	69.06	24.54	16.71488	8.977566	3.190226
1891.387	0.094161	-0.335769	0.0472292	130.93	67.18	24.11	17.02077	8.733049	3.134274
2005.669	0.090449	-0.315011	0.0434335	129.78	63.57	24.55	16.87179	8.263567	3.1915
2144.593	0.093447	-0.316617	0.0441119	130.45	62.69	24.52	16.95785	8.14996	3.187639
2265.313	0.097172	-0.316645	0.0446786	129.66	61.00	24.25	16.85554	7.929714	3.151876
2390.661	0.099922	-0.310902	0.044266	129.56	61.27	24.25	16.84293	7.964788	3.151863
