t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1535.955	-0.0056661	-0.226699	0.0209291	160.79	175.18	15.60	20.9030	22.7733	2.0285
-662.154	0.0014001	-0.2284922	0.0208288	159.04	175.46	15.08	20.6753	22.8098	1.9603
-63.116	-0.0001168	-0.2306432	0.0211782	159.47	176.42	15.43	20.7308	22.9351	2.0057
89.183	0.0003633	-0.2285922	0.0208869	160.34	175.61	14.21	20.8445	22.8294	1.8474
235.844	-0.0006372	-0.2306782	0.0212067	160.81	175.77	15.24	20.9057	22.8504	1.9810
350.579	-0.0037351	-0.2391129	0.0224912	162.39	177.54	16.60	21.1112	23.0797	2.1578
470.55	-0.0058572	-0.2433693	0.0231878	163.11	178.89	16.89	21.2048	23.2556	2.1952
589.525	-0.0059282	-0.25006	0.0241123	163.27	179.80	18.00	21.2248	23.3745	2.3405
709.436	-0.0071249	-0.2569538	0.0251495	164.06	181.63	17.03	21.3279	23.6115	2.2140
791.768	-0.0076638	-0.2568931	0.025174	163.84	182.39	16.58	21.2991	23.7104	2.1550
911.648	-0.0089243	-0.2639965	0.0262642	164.09	183.89	15.92	21.3322	23.9052	2.0695
1032.683	-0.0089243	-0.2639965	0.0262642	164.13	183.95	15.86	21.3372	23.9140	2.0624
1151.858	-0.0101552	-0.2687826	0.0270331	164.14	184.06	15.49	21.3382	23.9278	2.0132
1271.852	-0.0107913	-0.2712392	0.0274358	164.34	184.49	15.78	21.3638	23.9838	2.0514
1392.516	-0.0115212	-0.2762656	0.028218	164.94	185.78	16.10	21.4423	24.1508	2.0929
1511.674	-0.0100179	-0.2818328	0.0289208	164.10	186.06	15.59	21.3331	24.1874	2.0272
1632.604	-0.0105934	-0.2817182	0.0289448	164.61	185.89	16.25	21.3988	24.1654	2.1129
1752.001	-0.0106806	-0.284422	0.0293495	164.87	186.30	15.92	21.4331	24.2189	2.0699
1872.516	-0.0108799	-0.2899355	0.0301833	164.33	186.92	16.23	21.3630	24.2990	2.1093
2045.652	-0.0105883	-0.2985609	0.0314508	163.91	187.53	15.78	21.3087	24.3786	2.0519
2164.357	-0.0114058	-0.3043265	0.0323856	164.81	186.61	15.70	21.4257	24.2587	2.0413
2284.285	-0.0122702	-0.3102758	0.0333683	164.67	186.85	15.91	21.4075	24.2904	2.0688
2404.495	-0.0122702	-0.3102758	0.0333683	164.57	186.38	15.40	21.3940	24.2294	2.0020
2524.819	-0.0121461	-0.3072281	0.0328911	164.53	185.97	16.04	21.3890	24.1764	2.0855
2644.623	-0.0121461	-0.3072281	0.0328911	164.39	185.85	15.41	21.3707	24.1609	2.0039
2765.421	-0.0107841	-0.3044378	0.032352	164.05	186.04	15.57	21.3260	24.1857	2.0247
2887.549	-0.0106841	-0.3014878	0.0318992	164.36	185.86	15.18	21.3668	24.1621	1.9732
3007.713	-0.0106841	-0.3014878	0.0318992	163.72	186.27	15.21	21.2833	24.2147	1.9767
3127.756	-0.0096441	-0.3076257	0.0327463	163.25	186.27	15.22	21.2224	24.2145	1.9792
3247.455	-0.0089984	-0.3077406	0.0327155	162.81	186.54	14.92	21.1657	24.2496	1.9397
