t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-434.408	0.0000269	-0.308364	0.062328	244.38	110.32	9.55	21.2611	9.5978	0.8309
135.113	0.0000269	-0.308364	0.062328	255.08	117.32	10.05	22.1919	10.2069	0.8741
326.645	0.0009561	-0.348011	0.073535	247.23	124.31	10.38	21.5090	10.8152	0.9035
483.496	0.0011227	-0.356152	0.075875	247.37	127.06	10.03	21.5215	11.0546	0.8729
641.068	0.0012896	-0.364364	0.078242	247.41	129.50	11.52	21.5243	11.2668	1.0024
799.374	0.0020123	-0.382217	0.084132	246.43	132.21	11.03	21.4391	11.5025	0.9597
956.885	0.0029426	-0.401324	0.090514	247.50	136.00	10.00	21.5325	11.8320	0.8700
1114.302	0.0043594	-0.412876	0.095025	250.65	137.33	10.96	21.8061	11.9477	0.9533
1272.038	0.0065774	-0.45162	0.107738	253.75	141.50	10.32	22.0759	12.3103	0.8975
1430.113	0.0091966	-0.507498	0.12591	249.99	150.81	7.71	21.7493	13.1203	0.6703
1586.8	0.0098548	-0.534674	0.134495	246.50	151.50	8.00	21.4455	13.1805	0.6960
1743.441	0.0105583	-0.528629	0.132984	250.83	148.56	7.22	21.8223	12.9250	0.6280
1900.205	0.0097842	-0.527607	0.1323	247.57	148.87	6.10	21.5387	12.9514	0.5306
2057.239	0.0107275	-0.542819	0.137405	245.73	149.16	6.02	21.3782	12.9768	0.5235
2215.171	0.013243	-0.582101	0.150636	246.91	149.86	5.03	21.4815	13.0376	0.4373
2371.772	0.0143123	-0.598939	0.156317	245.40	152.87	4.34	21.3498	13.2994	0.3776
2529.329	0.015114	-0.62471	0.164639	243.79	154.69	6.42	21.2096	13.4576	0.5587
2685.834	0.0143656	-0.576148	0.149313	246.49	149.51	4.17	21.4445	13.0075	0.3628
2844.348	0.0161485	-0.59393	0.155486	244.38	151.45	4.89	21.2614	13.1759	0.4258
3001.046	0.0147178	-0.569139	0.147276	243.52	147.12	4.47	21.1861	12.7994	0.3889
3158.456	0.0139669	-0.553614	0.142196	241.95	147.32	3.74	21.0495	12.8164	0.3258
3336.417	0.0132452	-0.539059	0.137442	246.87	139.71	4.18	21.4778	12.1547	0.3632
3494.557	0.0131187	-0.552307	0.141437	245.00	143.00	3.50	21.3150	12.4410	0.3045
3651.312	0.0106455	-0.535634	0.135165	245.46	141.77	3.65	21.3550	12.3343	0.3173
3809.287	0.009277	-0.513816	0.127855	244.00	141.50	6.00	21.2280	12.3105	0.5220
3964.546	0.0088767	-0.533674	0.133633	241.50	143.35	4.12	21.0106	12.4714	0.3589
4119.986	0.0087398	-0.519834	0.129362	245.76	140.47	5.41	21.3814	12.2209	0.4707
4275.166	0.0084461	-0.519637	0.129124	243.00	141.50	5.50	21.1410	12.3105	0.4785
									
