t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-711.142	-0.029177	-0.16029	0.021057	91.42	81.72	23.09	11.885133	10.62399	3.001219
-342.8670001	-0.011004	-0.169966	0.022531	80.28	80.70	22.08	10.436114	10.490597	2.870972
-37.39499998	-0.002285	-0.17731	0.02392	83.94	81.96	22.88	10.912148	10.655411	2.973763
85.02600002	0.000156	-0.208809	0.030012	85.82	88.11	21.14	11.157003	11.454846	2.747888
204.921	0.004035	-0.231399	0.034613	85.55	90.98	20.64	11.121084	11.82779	2.682732
325.277	0.007291	-0.24407	0.037299	84.87	93.21	20.29	11.033451	12.116728	2.637141
445.039	-0.004757	-0.22679	0.033563	82.22	98.13	19.94	10.688548	12.757394	2.592538
565.4749999	-0.013042	-0.221177	0.032405	80.62	99.32	20.79	10.481042	12.91095	2.702986
685.76	-0.025618	-0.265739	0.041709	84.28	109.39	19.78	10.955841	14.22096	2.570789
805.3699999	-0.035884	-0.341392	0.058565	83.96	118.85	20.43	10.915034	15.44998	2.656277
924.921	-0.045164	-0.376539	0.066865	84.07	121.37	20.58	10.929321	15.77849	2.675426
1044.852	-0.040969	-0.386951	0.06923	83.76	122.00	20.73	10.888267	15.86026	2.69503
1165.23	-0.042389	-0.395286	0.07123	84.43	122.68	20.34	10.976459	15.94827	2.643901
1285.508	-0.052235	-0.450267	0.084636	86.23	125.53	19.90	11.210225	16.31942	2.586909
1405.207	-0.058623	-0.50607	0.098551	87.21	126.14	19.81	11.337911	16.39859	2.575261
1525.371	-0.070929	-0.569197	0.114692	89.19	127.92	20.06	11.595246	16.63012	2.608125
1645.957	-0.081731	-0.594598	0.121424	89.02	127.45	20.46	11.572574	16.56876	2.659267
1765.789	-0.102837	-0.631532	0.131505	90.99	126.78	21.71	11.828544	16.48166	2.822222
1884.981	-0.093033	-0.569758	0.115488	91.62	122.63	19.60	11.910275	15.94216	2.548546
2004.747	-0.095305	-0.602095	0.123774	90.07	119.91	21.04	11.709425	15.58869	2.734589
2125.518	-0.123546	-0.596067	0.123407	90.34	118.37	20.52	11.744772	15.38771	2.667769
2244.8	-0.127548	-0.649468	0.137099	90.03	117.32	20.81	11.703705	15.25095	2.705196
2365.408	-0.105471	-0.668807	0.141142	88.84	115.50	21.11	11.549837	15.01487	2.744755
2485.571	-0.092043	-0.63908	0.133086	88.81	114.55	21.62	11.545651	14.89111	2.810158
2605.309	-0.122215	-0.654709	0.138195	90.40	114.89	21.74	11.751376	14.93531	2.826265
2725.701	-0.143113	-0.700979	0.150948	90.44	114.83	23.13	11.757343	14.92738	3.00703
2845.715	-0.154541	-0.736688	0.160586	89.59	115.69	23.18	11.646089	15.03905	3.012932
2964.542	-0.154165	-0.789315	0.174012	88.64	115.96	22.46	11.522901	15.07467	2.919787
3085.841	-0.153429	-0.815617	0.180708	89.62	114.56	21.88	11.650899	14.89267	2.844582
3205.527	-0.181683	-0.878336	0.197921	90.68	115.42	21.79	11.788218	15.00421	2.832219
3325.466	-0.181683	-0.878336	0.197921	90.62	114.93	22.60	11.780743	14.94064	2.938494
3445.532	-0.180831	-0.942259	0.21401	89.94	115.84	21.64	11.692486	15.0592	2.813408
3565.117	-0.188817	-0.968951	0.221038	90.82	116.21	21.20	11.806106	15.10665	2.756533
3684.917	-0.154135	-0.964539	0.21842	89.69	115.09	21.70	11.659817	14.96131	2.820948
