t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1150.63	0.117287	-0.43289	0.0885486	180.00	122.50	24.00	23.4000	15.9250	3.1200
-580.97	0.038092	-0.340759	0.0624112	180.30	122.33	22.97	23.4394	15.9029	2.9857
-184.16	0.014241	-0.262743	0.0438647	179.74	124.56	21.91	23.3666	16.1927	2.8483
16.36	0.001331	-0.290136	0.050067	180.12	130.47	23.66	23.4160	16.9611	3.0757
137.41	-0.000182	-0.32182	0.0574908	180.37	140.10	21.62	23.4478	18.2131	2.8106
257.43	-0.004571	-0.35016	0.064328	179.08	145.80	22.10	23.2801	18.9541	2.8736
284.41	-0.005616	-0.365403	0.0680277	179.52	146.90	21.28	23.3372	19.0971	2.7668
405.35	-0.00745	-0.391259	0.0744263	179.16	150.80	20.84	23.2903	19.6034	2.7098
525.40	-0.008621	-0.364819	0.067921	178.50	151.84	21.38	23.2046	19.7388	2.7800
645.41	-0.014577	-0.363577	0.0676945	179.40	152.81	20.81	23.3225	19.8647	2.7059
765.41	-0.011571	-0.333377	0.0603494	178.88	154.11	22.39	23.2547	20.0340	2.9112
888.40	-0.003587	-0.334971	0.0606446	177.37	156.01	21.18	23.0584	20.2808	2.7535
1008.45	-0.00907	-0.306646	0.0539935	177.48	155.81	21.04	23.0719	20.2547	2.7349
1128.40	-0.012403	-0.293241	0.0509229	176.57	157.05	21.34	22.9536	20.4170	2.7741
1248.40	-0.018547	-0.273253	0.0464437	175.85	158.30	21.65	22.8601	20.5786	2.8149
1365.43	-0.021793	-0.245316	0.0402905	177.43	157.56	21.91	23.0653	20.4824	2.8478
1485.40	-0.023427	-0.235118	0.0381188	177.54	157.67	21.66	23.0802	20.4972	2.8161
1605.41	-0.024692	-0.224896	0.035952	175.82	158.23	20.39	22.8561	20.5702	2.6512
1725.41	-0.021764	-0.217955	0.0343883	176.73	158.29	21.96	22.9754	20.5771	2.8551
1821.35	-0.02719	-0.214824	0.0339015	176.93	156.33	24.05	23.0012	20.3228	3.1260
1935.39	-0.023996	-0.188924	0.0284391	177.42	153.00	21.92	23.0640	19.8903	2.8498
2073.47	-0.0233	-0.175672	0.025774	178.50	150.59	22.11	23.2047	19.5764	2.8744
2193.58	-0.021987	-0.170128	0.0246415	179.08	150.87	20.61	23.2798	19.6132	2.6794
2313.52	-0.018521	-0.154921	0.0216117	178.33	150.70	21.17	23.1830	19.5913	2.7524
2433.52	-0.020099	-0.145889	0.0199696	180.65	150.28	21.44	23.4844	19.5365	2.7868
2553.53	-0.018349	-0.142216	0.019238	180.75	149.92	21.27	23.4976	19.4900	2.7645
2673.52	-0.020507	-0.140637	0.0190229	182.21	148.56	22.24	23.6876	19.3124	2.8918
2797.38	-0.020136	-0.136033	0.0181714	182.02	148.97	21.10	23.6623	19.3655	2.7432
2917.36	-0.020136	-0.136033	0.0181714	182.44	151.45	21.79	23.7168	19.6882	2.8329
